word,ipa
근년,k0 xx nf nn yv nf
성삼문,s0 vv ng s0 aa mf mm uu nf
먹,mm vv kf
망자,mm aa ng c0 aa
어패류,vv ph qq rr yu
전변,c0 vv nf p0 yv nf
우량,uu rr ya ng
슈퍼스타,s0 yu ph vv s0 xx th aa
전병,c0 vv nf p0 yv ng
일주일,ii ll c0 uu ii ll
남장,nn aa mf c0 aa ng
만석,mm aa nf s0 vv kf
종합대,c0 oo ng h0 aa pf tt qq
승은,s0 xx ng xx nf
전보,c0 vv nf p0 oo
전복,c0 vv nf p0 oo kf
온전히,oo nf c0 vv nf h0 ii
프롤레타리아,ph xx rr oo ll rr ee th aa rr ii aa
투표권,th uu ph yo k0 wv nf
밀라노,mm ii ll rr aa nn oo
나머지,nn aa mm vv c0 ii
투과성,th uu k0 wa s0 vv ng
지표면,c0 ii ph yo mm yv nf
장,c0 aa ng
부랴트,p0 uu rr ya th xx
낫,nn aa tf
넘겨주,nn vv mf k0 yv c0 uu
암살범,aa mf s0 aa ll p0 vv mf
코사,kh oo s0 aa
귀중,k0 wi c0 uu ng
게시물,k0 ee s0 ii mm uu ll
행각,h0 qq ng k0 aa kf
초아,ch oo aa
훗날,h0 uu nf nn aa ll
유봉,yu p0 oo ng
콩코드,kh oo ng kh oo t0 xx
폐지론,ph ye c0 ii rr oo nf
핑계,ph ii ng k0 ye
와트,wa th xx
오르기,oo rr xx k0 ii
풍수,ph uu ng s0 uu
앞발,aa pf pp aa ll
컨버터,kh vv nf p0 vv th vv
개혁가,k0 qq h0 yv kf kk aa
절망,c0 vv ll mm aa ng
달하,t0 aa ll h0 aa
동북면,t0 oo ng p0 uu ng mm yv nf
렌즈,rr ee nf c0 xx
서재필,s0 vv c0 qq ph ii ll
꽉,kk wa kf
냉철,nn qq ng ch vv ll
스카이,s0 xx kh aa ii
핑거,ph ii ng k0 vv
근기,k0 xx nf k0 ii
대장균,t0 qq c0 aa ng k0 yu nf
풍습,ph uu ng s0 xx pf
쿠이,kh uu ii
접히,c0 vv ph ii
스테이션,s0 xx th ee ii s0 yv nf
쿨하,kh uu ll h0 aa
초엽,ch oo yv pf
초연,ch oo yv nf
미라,mm ii rr aa
룰,rr uu ll
부딪히,p0 uu t0 ii ch ii
음식점,xx mf s0 ii kf cc vv mf
협연,h0 yv p0 yv nf
스카웃,s0 xx kh aa uu tf
첩,ch vv pf
행군,h0 qq ng k0 uu nf
대동맥,t0 qq t0 oo ng mm qq kf
막바지,mm aa kf pp aa c0 ii
귀족,k0 wi c0 oo kf
개인주의,k0 qq ii nf c0 uu xi
쿠요,kh uu yo
슈퍼마켓,s0 yu ph vv mm aa kh ee tf
버프,p0 vv ph xx
띄,tt xi
가필,k0 aa ph ii ll
유방,yu p0 aa ng
유배,yu p0 qq
티투스,th ii th uu s0 xx
척식,ch vv kf ss ii kf
타이중,th aa ii c0 uu ng
앰프,qq mf ph xx
중심인물,c0 uu ng s0 ii mm ii nf mm uu ll
하,h0 aa
가하,k0 aa h0 aa
가학,k0 aa h0 aa kf
불필요하,p0 uu ll ph ii ll rr yo h0 aa
재앙,c0 qq aa ng
한계점,h0 aa nf k0 ye c0 vv mf
카메라,kh aa mm ee rr aa
척신,ch vv kf ss ii nf
돌리기,t0 oo ll rr ii k0 ii
관중석,k0 wa nf c0 uu ng s0 vv kf
활발히,h0 wa ll p0 aa ll h0 ii
가해,k0 aa h0 qq
은나라,xx nf nn aa rr aa
재야,c0 qq ya
배낭,p0 qq nn aa ng
구조물,k0 uu c0 oo mm uu ll
유발,yu p0 aa ll
모토로라,mm oo th oo rr oo rr aa
협약,h0 yv p0 ya kf
김동수,k0 ii mf t0 oo ng s0 uu
척수,ch vv kf ss uu
유보,yu p0 oo
유복,yu p0 oo kf
대중교통,t0 qq c0 uu ng k0 yo th oo ng
임박,ii mf p0 aa kf
공동묘지,k0 oo ng t0 oo ng mm yo c0 ii
다양화,t0 aa ya ng h0 wa
상하이,s0 aa ng h0 aa ii
타히티,th aa h0 ii th ii
레지스터,rr ee c0 ii s0 xx th vv
취급,ch wi k0 xx pf
송신기,s0 oo ng s0 ii nf kk ii
생산물,s0 qq ng s0 aa nf mm uu ll
스케줄,s0 xx kh ee c0 uu ll
문예,mm uu nf nn ye
사제단,s0 aa c0 ee t0 aa nf
행궁,h0 qq ng k0 uu ng
흉악,h0 yu ng aa kf
쿠와,kh uu wa
클린턴,kh xx ll rr ii nf th vv nf
재연,c0 qq yv nf
안건,aa nf k0 vv nf
산시성,s0 aa nf s0 ii s0 vv ng
재영,c0 qq yv ng
육방,yu kf pp aa ng
브루크,p0 xx rr uu kh xx
선술집,s0 vv nf s0 uu ll cc ii pf
자이로,c0 aa ii rr oo
운봉,uu nf p0 oo ng
한문,h0 aa nf mm uu nf
코시,kh oo s0 ii
지역구,c0 ii yv kf kk uu
제천군,c0 ee ch vv nf k0 uu nf
육박,yu kf pp aa kf
인터내셔널,ii nf th vv nn qq s0 yv nn vv ll
가호,k0 aa h0 oo
가혹,k0 aa h0 oo kf
초의,ch oo xi
아가씨,aa k0 aa ss ii
가화,k0 aa h0 wa
냉장고,nn qq ng c0 aa ng k0 oo
코스,kh oo s0 xx
망,mm aa ng
구청장,k0 uu ch vv ng c0 aa ng
비뚤어지,p0 ii tt uu rr vv c0 ii
초인,ch oo ii nf
쑤,ss uu
후지타,h0 uu c0 ii th aa
행기,h0 qq ng k0 ii
관리국,k0 wa ll rr ii k0 uu kf
주랑,c0 uu rr aa ng
쿠에,kh uu ee
쿠엔,kh uu ee nf
재외,c0 qq wo
샤이보,s0 ya ii p0 oo
근거,k0 xx nf k0 vv
통폐합,th oo ng ph ye h0 aa pf
관리권,k0 wa ll rr ii k0 wv nf
잎,ii pf
메트로,mm ee th xx rr oo
송환,s0 oo ng h0 wa nf
여직원,yv c0 ii k0 wv nf
나아가,nn aa aa k0 aa
급강하,k0 xx pf kk aa ng h0 aa
베이브,p0 ee ii p0 xx
재우,c0 qq uu
울,uu ll
눈보라,nn uu nf p0 oo rr aa
초장,ch oo c0 aa ng
녹취,nn oo kf ch wi
가후,k0 aa h0 uu
지역권,c0 ii yv kf kk wv nf
비엔나,p0 ii ee nf nn aa
풍산,ph uu ng s0 aa nf
재원,c0 qq wv nf
쿠아,kh uu aa
과천시,k0 wa ch vv nf s0 ii
거듭나,k0 vv t0 xx mf nn aa
쿠알,kh uu aa ll
근간,k0 xx nf k0 aa nf
베이비,p0 ee ii p0 ii
난방,nn aa nf p0 aa ng
녹차,nn oo kf ch aa
재위,c0 qq wi
맞서,mm aa tf ss vv
운반,uu nf p0 aa nf
흉작,h0 yu ng c0 aa kf
영주군,yv ng c0 uu k0 uu nf
겨루,k0 yv rr uu
윤락,yu ll rr aa kf
콕스,kh oo kf ss xx
진행자,c0 ii nf h0 qq ng c0 aa
노랫말,nn oo rr qq nf mm aa ll
주둔지,c0 uu t0 uu nf c0 ii
척사,ch vv kf ss aa
유비,yu p0 ii
꼬리,kk oo rr ii
바뀌,p0 aa kk wi
동요,t0 oo ng nn yo
군기감,k0 uu nf k0 ii k0 aa mf
자이르,c0 aa ii rr xx
국무원,k0 uu ng mm uu wv nf
풍선,ph uu ng s0 vv nf
전투력,c0 vv nf th uu rr yv kf
흐트,h0 xx th xx
꼬마,kk oo mm aa
풍성,ph uu ng s0 vv ng
부속물,p0 uu s0 oo ng mm uu ll
재의,c0 qq xi
메트리,mm ee th xx rr ii
지배적,c0 ii p0 qq c0 vv kf
어둠,vv t0 uu mf
가흥,k0 aa h0 xx ng
프리즈,ph xx rr ii c0 xx
가희,k0 aa h0 xi
리브르,rr ii p0 xx rr xx
재이,c0 qq ii
라가,rr aa k0 aa
얼핏,vv ll ph ii tf
재일,c0 qq ii ll
프리즘,ph xx rr ii c0 xx mf
성찬례,s0 vv ng ch aa ll rr ye
튀니스,th wi nn ii s0 xx
재임,c0 qq ii mf
가히,k0 aa h0 ii
라고,rr aa k0 oo
단기적,t0 aa nf k0 ii c0 vv kf
부활절,p0 uu h0 wa ll c0 vv ll
정해지,c0 vv ng h0 qq c0 ii
원자가,wv nf c0 aa k0 aa
근교,k0 xx nf k0 yo
협의,h0 yv p0 xi
연속극,yv nf ss oo kf kk xx kf
멘트,mm ee nf th xx
의존도,xi c0 oo nf t0 oo
구조적,k0 uu c0 oo c0 vv kf
감수성,k0 aa mf s0 uu s0 vv ng
외부인,wo p0 uu ii nf
뺄셈,pp qq ll s0 ee mf
초원,ch oo wv nf
마미,mm aa mm ii
초월,ch oo wv ll
기요시,k0 ii yo s0 ii
ㅗ,
벽파,p0 yv kf ph aa
필사본,ph ii ll s0 aa p0 oo nf
암모니아,aa mf mm oo nn ii aa
치명적,ch ii mm yv ng c0 vv kf
물리학자,mm uu ll rr ii h0 aa kf cc aa
풍속,ph uu ng s0 oo kf
수영복,s0 uu yv ng p0 oo kf
겨레,k0 yv rr ee
도약,t0 oo ya kf
둔전,t0 uu nf c0 vv nf
관리과,k0 wa ll rr ii k0 wa
아키텍처,aa kh ii th ee kf ch vv
초서,ch oo s0 vv
초석,ch oo s0 vv kf
냉정,nn qq ng c0 vv ng
토신,th oo s0 ii nf
산줄기,s0 aa nf c0 uu ll k0 ii
우가,uu k0 aa
돋우,t0 oo t0 uu
세레나데,s0 ee rr ee nn aa t0 ee
냉전,nn qq ng c0 vv nf
카지마,kh aa c0 ii mm aa
초성,ch oo s0 vv ng
협상,h0 yv pf ss aa ng
사용가능,s0 aa yo ng k0 aa nn xx ng
초선,ch oo s0 vv nf
대동보,t0 qq t0 oo ng p0 oo
국민회,k0 uu ng mm ii nf h0 wo
이정표,ii c0 vv ng ph yo
온조왕,oo nf c0 oo wa ng
동아,t0 oo ng aa
흉상,h0 yu ng s0 aa ng
대동법,t0 qq t0 oo ng p0 vv pf
이렇게,ii rr vv kh ee
암각화,aa mf k0 aa kh wa
우거,uu k0 vv
반세기,p0 aa nf s0 ee k0 ii
유공자,yu k0 oo ng c0 aa
끌어당기,kk xx rr vv t0 aa ng k0 ii
피조물,ph ii c0 oo mm uu ll
법가,p0 vv pf kk aa
제의하,c0 ee xi h0 aa
법과,p0 vv pf kk wa
뇌실,nn wo s0 ii ll
라운지,rr aa uu nf c0 ii
위수,wi s0 uu
국무총리실,k0 uu ng mm uu ch oo ng nn ii s0 ii ll
송기,s0 oo ng k0 ii
초소,ch oo s0 oo
초속,ch oo s0 oo kf
성북구,s0 vv ng p0 uu kf kk uu
베트남,p0 ee th xx nn aa mf
경무청,k0 yv ng mm uu ch vv ng
송금,s0 oo ng k0 xx mf
재사,c0 qq s0 aa
우경,uu k0 yv ng
재산,c0 qq s0 aa nf
폭발력,ph oo kf pp aa ll rr yv kf
개풍군,k0 qq ph uu ng k0 uu nf
법계,p0 vv pf kk ye
꼽,kk oo pf
유망,yu mm aa ng
법경,p0 vv pf kk yv ng
가타,k0 aa th aa
지행,c0 ii h0 qq ng
콜롬비아,kh oo ll rr oo mf p0 ii aa
극구,k0 xx kf kk uu
재상,c0 qq s0 aa ng
빅뱅,p0 ii kf pp qq ng
유리,yu rr ii
척의,ch vv k0 xi
유린,yu rr ii nf
우계,uu k0 ye
페름기,ph ee rr xx mf k0 ii
재생,c0 qq s0 qq ng
유림,yu rr ii mf
가택,k0 aa th qq kf
이란인,ii rr aa nn ii nf
김동인,k0 ii mf t0 oo ng ii nf
풍요,ph uu ng nn yo
기록하,k0 ii rr oo kh aa
터미널,th vv mm ii nn vv ll
쿠스,kh uu s0 xx
귀책,k0 wi ch qq kf
동남쪽,t0 oo ng nn aa mf cc oo kf
리서치,rr ii s0 vv ch ii
묵시록,mm uu kf ss ii rr oo kf
재석,c0 qq s0 vv kf
유례,yu rr ye
재선,c0 qq s0 vv nf
난민,nn aa nf mm ii nf
설로,s0 vv ll rr oo
삼척군,s0 aa mf ch vv kf kk uu nf
재성,c0 qq s0 vv ng
풍의,ph uu ng xi
유로,yu rr oo
그린란드,k0 xx rr ii ll rr aa nf t0 xx
어울리,vv uu ll rr ii
자생지,c0 aa s0 qq ng c0 ii
유려,yu rr yv
유력,yu rr yv kf
코어,kh oo vv
어울림,vv uu ll rr ii mf
유사성,yu s0 aa s0 vv ng
러시아인,rr vv s0 ii aa ii nf
슐레스,s0 yu ll rr ee s0 xx
성내,s0 vv ng nn qq
우군,uu k0 uu nf
짐바,c0 ii mf p0 aa
정서적,c0 vv ng s0 vv c0 vv kf
귀찮,k0 wi ch aa nf
로얄,rr oo ya ll
협소,h0 yv pf ss oo
쿠시,kh uu s0 ii
재소,c0 qq s0 oo
덩굴,t0 vv ng k0 uu ll
뿔뿔이,pp uu ll pp uu rr ii
정체성,c0 vv ng ch ee s0 vv ng
휴식처,h0 yu s0 ii kf ch vv
운명,uu nf mm yv ng
법규,p0 vv pf kk yu
가토,k0 aa th oo
상무,s0 aa ng mm uu
가톨,k0 aa th oo ll
유료,yu rr yo
백,p0 qq kf
운모,uu nf mm oo
코아,kh oo aa
변절,p0 yv nf c0 vv ll
협성,h0 yv pf ss vv ng
잡아내,c0 aa p0 aa nn qq
왕유,wa ng nn yu
국사봉,k0 uu kf ss aa p0 oo ng
뱌,p0 ya
초상,ch oo s0 aa ng
귀천,k0 wi ch vv nf
철저,ch vv ll c0 vv
ㄴ데요,t0 ee yo
기타,k0 ii th aa
과업,k0 wa vv pf
가오슝,k0 aa oo s0 yu ng
나스,nn aa s0 xx
풍자,ph uu ng c0 aa
철제,ch vv ll c0 ee
역원,yv k0 wv nf
혀,h0 yv
창업자,ch aa ng vv pf cc aa
최대,ch wo t0 qq
우금,uu k0 xx mf
재수,c0 qq s0 uu
정치범,c0 vv ng ch ii p0 vv mf
다행히,t0 aa h0 qq ng h0 ii
해치,h0 qq ch ii
양식장,ya ng s0 ii kf cc aa ng
이케,ii kh ee
중대장,c0 uu ng t0 qq c0 aa ng
송고,s0 oo ng k0 oo
사무총장,s0 aa mm uu ch oo ng c0 aa ng
들어가,t0 xx rr vv k0 aa
송곳,s0 oo ng k0 oo tf
유무,yu mm uu
세이지,s0 ee ii c0 ii
헤매,h0 ee mm qq
송과,s0 oo ng k0 wa
유물,yu mm uu ll
시흥군,s0 ii h0 xx ng k0 uu nf
구리시,k0 uu rr ii s0 ii
양피지,ya ng ph ii c0 ii
빈민가,p0 ii nf mm ii nf k0 aa
숭배,s0 uu ng p0 qq
듯이,t0 xx s0 ii
육로,yu ng nn oo
윤달,yu nf t0 aa ll
난로,nn aa ll rr oo
세도,s0 ee t0 oo
책정,ch qq kf cc vv ng
유미,yu mm ii
유민,yu mm ii nf
스케치,s0 xx kh ee ch ii
송가,s0 oo ng k0 aa
위화감,wi h0 wa k0 aa mf
철쭉,ch vv ll cc uu kf
라파엘,rr aa ph aa ee ll
송강,s0 oo ng k0 aa ng
갑종,k0 aa pf cc oo ng
임무,ii mf mm uu
결격,k0 yv ll k0 yv kf
변함없,p0 yv nf h0 aa mm vv pf
자계,c0 aa k0 ye
창원군,ch aa ng wv nf k0 uu nf
신천군,s0 ii nf ch vv nf k0 uu nf
뇌사,nn wo s0 aa
들국화,t0 xx ll k0 uu kh wa
프레이즈,ph xx rr ee ii c0 xx
재신,c0 qq s0 ii nf
녹지,nn oo kf cc ii
재심,c0 qq s0 ii mf
앞면,aa mf mm yv nf
결과,k0 yv ll k0 wa
쿠션,kh uu s0 yv nf
초순,ch oo s0 uu nf
임명,ii mf mm yv ng
씌,ss xi
정치부,c0 vv ng ch ii p0 uu
내야수,nn qq ya s0 uu
아미,aa mm ii
쿠샨,kh uu s0 ya nf
녹취록,nn oo kf ch wi rr oo kf
유머,yu mm vv
동북부,t0 oo ng p0 uu kf pp uu
불안정,p0 uu rr aa nf c0 vv ng
난립,nn aa ll rr ii pf
대가족,t0 qq k0 aa c0 oo kf
치악산,ch ii aa kf ss aa nf
난리,nn aa ll rr ii
결국,k0 yv ll k0 uu kf
코일,kh oo ii ll
봇,p0 oo tf
난류,nn aa ll rr yu
전투복,c0 vv nf th uu p0 oo kf
대마도,t0 qq mm aa t0 oo
안동시,aa nf t0 oo ng s0 ii
뒤떨어지,t0 wi tt vv rr vv c0 ii
김구,k0 ii mf k0 uu
고생대,k0 oo s0 qq ng t0 qq
와해,wa h0 qq
초시,ch oo s0 ii
초식,ch oo s0 ii kf
유모,yu mm oo
그래스,k0 xx rr qq s0 xx
송구,s0 oo ng k0 uu
와플,wa ph xx ll
나이다,nn aa ii t0 aa
모리츠,mm oo rr ii ch xx
김창집,k0 ii mf ch aa ng c0 ii pf
유명,yu mm yv ng
응원가,xx ng wv nf k0 aa
최다,ch wo t0 aa
아카데미,aa kh aa t0 ee mm ii
맴,mm qq mf
임면,ii mf mm yv nf
최단,ch wo t0 aa nf
주목적,c0 uu mm oo kf cc vv kf
펭귄,ph ee ng k0 wi nf
중지하,c0 uu ng c0 ii h0 aa
튀니지,th wi nn ii c0 ii
꾸준,kk uu c0 uu nf
재차,c0 qq ch aa
묵가,mm uu kf kk aa
형평,h0 yv ng ph yv ng
재창,c0 qq ch aa ng
앞뒤,aa pf tt wi
연극과,yv nf k0 xx kf kk wa
형편,h0 yv ng ph yv nf
이자율,ii c0 aa yu ll
한계선,h0 aa nf k0 ye s0 vv nf
녹이,nn oo k0 ii
탐색,th aa mf s0 qq kf
녹음,nn oo k0 xx mf
랙,rr qq kf
흥분,h0 xx ng p0 uu nf
스테이지,s0 xx th ee ii c0 ii
물리량,mm uu ll rr ii rr ya ng
검은색,k0 vv mm xx nf ss qq kf
성년자,s0 vv ng nn yv nf c0 aa
재천,c0 qq ch vv nf
풀어쓰,ph uu rr vv ss xx
빈사,p0 ii nf s0 aa
철야,ch vv ll rr ya
가입국,k0 aa ii pf kk uu kf
떨치,tt vv ll ch ii
재청,c0 qq ch vv ng
육해군,yu kh qq k0 uu nf
프란시스,ph xx rr aa nf s0 ii s0 xx
귀속,k0 wi s0 oo kf
한우,h0 aa nn uu
협찬,h0 yv pf ch aa nf
파라미터,ph aa rr aa mm ii th vv
윤번,yu nf p0 vv nf
위시,wi s0 ii
돌아가시,t0 oo rr aa k0 aa s0 ii
코펜하겐,kh oo ph ee nf h0 aa k0 ee nf
건하,k0 vv nf h0 aa
책임,ch qq k0 ii mf
국립대학,k0 uu ng nn ii pf tt qq h0 aa kf
시시,s0 ii s0 ii
협주곡,h0 yv pf cc uu k0 oo kf
책자,ch qq kf cc aa
전체주의,c0 vv nf ch ee c0 uu xi
크로스오버,kh xx rr oo s0 xx oo p0 vv
중요시,c0 uu ng nn yo s0 ii
유두,yu t0 uu
다람쥐,t0 aa rr aa mf c0 wi
양명학,ya ng mm yv ng h0 aa kf
로켓포,rr oo kh ee tf ph oo
괴벨스,k0 wo p0 ee ll s0 xx
이루어지,ii rr uu vv c0 ii
코지,kh oo c0 ii
반납,p0 aa nf nn aa pf
재빠르,c0 qq pp aa rr xx
윌리엄,wi ll rr ii vv mf
앨,qq ll
민유중,mm ii nf nn yu c0 uu ng
세종실록,s0 ee c0 oo ng s0 ii ll rr oo kf
허난성,h0 vv nn aa nf s0 vv ng
별장,p0 yv ll c0 aa ng
맹목적,mm qq ng mm oo kf cc vv kf
궤멸,k0 we mm yv ll
터뜨리,th vv tt xx rr ii
업고,vv pf kk oo
사사로이,s0 aa s0 aa rr oo ii
전적,c0 vv nf c0 vv kf
센서,s0 ee nf s0 vv
부시장,p0 uu s0 ii c0 aa ng
초청,ch oo ch vv ng
통영시,th oo ng nn yv ng s0 ii
생활환경,s0 qq ng h0 wa ll h0 wa nf k0 yv ng
왕,wa ng
책의,ch qq k0 xi
쿠칸,kh uu kh aa nf
음파,xx mf ph aa
야구장,ya k0 uu c0 aa ng
망토,mm aa ng th oo
쿠치,kh uu ch ii
겨누,k0 yv nn uu
규범,k0 yu p0 vv mf
리가,rr ii k0 aa
난드,nn aa nf t0 xx
프랑스군,ph xx rr aa ng s0 xx k0 uu nf
센스,s0 ee nf s0 xx
풍족,ph uu ng c0 oo kf
풍조,ph uu ng c0 oo
명환,mm yv ng h0 wa nf
스탬프,s0 xx th qq mf ph xx
디아블로,t0 ii aa p0 xx ll rr oo
전격적,c0 vv nf k0 yv kf cc vv kf
기하급수,k0 ii h0 aa k0 xx pf ss uu
멀,mm vv ll
휘파람,h0 wi ph aa rr aa mf
밑부분,mm ii tf pp uu p0 uu nf
리무진,rr ii mm uu c0 ii nf
재치,c0 qq ch ii
스케스,s0 xx kh ee s0 xx
바이에른,p0 aa ii ee rr xx nf
챤,ch ya nf
건호,k0 vv nf h0 oo
철자,ch vv ll c0 aa
과보,k0 wa p0 oo
대가야,t0 qq k0 aa ya
명화,mm yv ng h0 wa
이자연,ii c0 aa yv nf
철인,ch vv rr ii nf
유럽,yu rr vv pf
사모스,s0 aa mm oo s0 xx
담수,t0 aa mf s0 uu
편집부,ph yv nf c0 ii pf pp uu
유량,yu rr ya ng
몽환,mm oo ng h0 wa nf
부르크,p0 uu rr xx kh xx
철의,ch vv rr xi
그라운드,k0 xx rr aa uu nf t0 xx
남북국,nn aa mf p0 uu kf kk uu kf
중요성,c0 uu ng nn yo s0 vv ng
흉,h0 yu ng
건전지,k0 vv nf c0 vv nf c0 ii
해부학,h0 qq p0 uu h0 aa kf
자이나,c0 aa ii nn aa
훈련소,h0 uu ll rr yv nf s0 oo
기통,k0 ii th oo ng
세제곱,s0 ee c0 ee k0 oo pf
유랑,yu rr aa ng
추출법,ch uu ch uu ll pp vv pf
유래,yu rr qq
이카,ii kh aa
열성적,yv ll s0 vv ng c0 vv kf
줌,c0 uu mf
시퀀스,s0 ii kh wv nf s0 xx
겨냥,k0 yv nn ya ng
형태,h0 yv ng th qq
에스컬레이터,ee s0 xx kh vv ll rr ee ii th vv
치명상,ch ii mm yv ng s0 aa ng
드레싱,t0 xx rr ee s0 ii ng
프라이,ph xx rr aa ii
첨탑,ch vv mf th aa pf
자궁,c0 aa k0 uu ng
느티나무,nn xx th ii nn aa mm uu
건흥,k0 vv nf h0 xx ng
모리슨,mm oo rr ii s0 xx nf
조망,c0 oo mm aa ng
귀순,k0 wi s0 uu nf
총학생회,ch oo ng h0 aa kf ss qq ng h0 wo
표지판,ph yo c0 ii ph aa nf
드레스,t0 xx rr ee s0 xx
렌스,rr ee nf s0 xx
기자단,k0 ii c0 aa t0 aa nf
의형제,xi h0 yv ng c0 ee
영문과,yv ng mm uu nf k0 wa
붙이기,p0 uu ch ii k0 ii
북천,p0 uu kf ch vv nf
고령자,k0 oo rr yv ng c0 aa
최소,ch wo s0 oo
흠,h0 xx mf
산부인과,s0 aa nf p0 uu ii nf k0 wa
귀신,k0 wi s0 ii nf
모범적,mm oo p0 vv mf c0 vv kf
마모,mm aa mm oo
데스크,t0 ee s0 xx kh xx
뜨거워지,tt xx k0 vv wv c0 ii
충격파,ch uu ng k0 yv kf ph aa
냉장,nn qq ng c0 aa ng
혁파,h0 yv kf ph aa
교살,k0 yo s0 aa ll
불확실하,p0 uu ll h0 wa kf ss ii ll h0 aa
프라임,ph xx rr aa ii mf
리그,rr ii k0 xx
플러스,ph xx ll rr vv s0 xx
북,p0 uu kf
재적,c0 qq c0 vv kf
사이클론,s0 aa ii kh xx ll rr oo nf
칠,ch ii ll
협주,h0 yv pf cc uu
규명,k0 yu mm yv ng
클레망,kh xx ll rr ee mm aa ng
플리트,ph xx ll rr ii th xx
설과,s0 vv ll k0 wa
유년,yu nn yv nf
세례자,s0 ee rr ye c0 aa
바람,p0 aa rr aa mf
예빈시,ye p0 ii nf s0 ii
흥망,h0 xx ng mm aa ng
유념,yu nn yv mf
앞날,aa mf nn aa ll
규모,k0 yu mm oo
망고,mm aa ng k0 oo
팍스,ph aa kf ss xx
귀뚜라미,k0 wi tt uu rr aa mm ii
끈,kk xx nf
배우기,p0 qq uu k0 ii
활,h0 wa ll
손원일,s0 oo nn wv nn ii ll
암흑기,aa mf h0 xx kf kk ii
유사점,yu s0 aa c0 vv mf
어버이,vv p0 vv ii
협조,h0 yv pf cc oo
기억력,k0 ii vv ng nn yv kf
클레르,kh xx ll rr ee rr xx
결의안,k0 yv rr xi aa nf
뚜,tt uu
반투명,p0 aa nf th uu mm yv ng
카지노,kh aa c0 ii nn oo
중장기,c0 uu ng c0 aa ng k0 ii
음화,xx mf h0 wa
유위법,yu wi p0 vv pf
강수량,k0 aa ng s0 uu rr ya ng
철선,ch vv ll s0 vv nf
배신자,p0 qq s0 ii nf cc aa
운동,uu nf t0 oo ng
쓰러지,ss xx rr vv c0 ii
마른,mm aa rr xx nf
귀양,k0 wi ya ng
빗,p0 ii tf
혜화동,h0 ye h0 wa t0 oo ng
협정,h0 yv pf cc vv ng
훈련장,h0 uu ll rr yv nf c0 aa ng
재주,c0 qq c0 uu
판매,ph aa nf mm qq
명,mm yv ng
재준,c0 qq c0 uu nf
초점,ch oo c0 vv mf
망하,mm aa ng h0 aa
분출물,p0 uu nf ch uu ll mm uu ll
오베르,oo p0 ee rr xx
쌔,ss qq
재중,c0 qq c0 uu ng
두더지,t0 uu t0 vv c0 ii
의용대,xi yo ng t0 qq
골드윈,k0 oo ll t0 xx wi nf
철새,ch vv ll ss qq
세이스,s0 ee ii s0 xx
항공기,h0 aa ng k0 oo ng k0 ii
알류샨,aa ll rr yu s0 ya nf
병아리,p0 yv ng aa rr ii
전기,c0 vv nf k0 ii
사모아,s0 aa mm oo aa
뭄,mm uu mf
철사,ch vv ll s0 aa
이론화,ii rr oo nf h0 wa
속기,s0 oo kf kk ii
공중전화,k0 oo ng c0 uu ng c0 vv nf h0 wa
실리콘,s0 ii ll rr ii kh oo nf
단검,t0 aa nf k0 vv mf
추출물,ch uu ch uu ll mm uu ll
초조,ch oo c0 oo
완도군,wa nf t0 oo k0 uu nf
냐크,nn ya kh xx
주제별,c0 uu c0 ee p0 yv ll
훈련원,h0 uu ll rr yv nn wv nf
녹슬,nn oo kf ss xx ll
재즈,c0 qq c0 xx
빅딜,p0 ii kf tt ii ll
슐츠,s0 yu ll ch xx
사생활,s0 aa s0 qq ng h0 wa ll
조림,c0 oo rr ii mf
포착,ph oo ch aa kf
딸기,tt aa ll k0 ii
송상현,s0 oo ng s0 aa ng h0 yv nf
시게루,s0 ii k0 ee rr uu
감면,k0 aa mf mm yv nf
형화,h0 yv ng h0 wa
피우스,ph ii uu s0 xx
환은,h0 wa nn xx nf
윤리,yu ll rr ii
재지,c0 qq c0 ii
재직,c0 qq c0 ii kf
비밀리,p0 ii mm ii ll rr ii
재질,c0 qq c0 ii ll
교차로,k0 yo ch aa rr oo
일찍이,ii ll cc ii k0 ii
제조법,c0 ee c0 oo p0 vv pf
지난해,c0 ii nn aa nf h0 qq
육도,yu kf tt oo
프로,ph xx rr oo
민속학,mm ii nf ss oo kh aa kf
조리,c0 oo rr ii
유나,yu nn aa
공손강,k0 oo ng s0 oo nf k0 aa ng
속국,s0 oo kf kk uu kf
속구,s0 oo kf kk uu
는지라,nn xx nf c0 ii rr aa
전관,c0 vv nf k0 wa nf
흥미,h0 xx ng mm ii
헨리,h0 ee ll rr ii
구족계,k0 uu c0 oo kf kk ye
귀의,k0 wi xi
척추,ch vv kf ch uu
전광,c0 vv nf k0 wa ng
풍채,ph uu ng ch qq
쿠즈,kh uu c0 xx
못하,mm oo th aa
유덕,yu t0 vv kf
귀인,k0 wi ii nf
윌리스,wi ll rr ii s0 xx
감압,k0 aa mm aa pf
오타와,oo th aa wa
책상,ch qq kf ss aa ng
풍차,ph uu ng ch aa
이자성,ii c0 aa s0 vv ng
임동,ii mf t0 oo ng
성품,s0 vv ng ph uu mf
전교,c0 vv nf k0 yo
전구,c0 vv nf k0 uu
전국,c0 vv nf k0 uu kf
구릉지,k0 uu rr xx ng c0 ii
여행기,yv h0 qq ng k0 ii
전군,c0 vv nf k0 uu nf
